# airline	from	to	codeshare	stops	equipment
# Date: 2014-06-28
2P	KLO	MNL		0	320
2P	KLO	MNL	*	0	320
2P	LGP	MNL		0	320
2P	MNL	BSO		0	DH4
2P	MNL	BXU		0	320
2P	MNL	CBO		0	320
2P	MNL	CGY		0	320
2P	MNL	CRM		0	DH4
2P	MNL	DGT		0	320
2P	MNL	DWC		0	330
2P	MNL	GES	*	0	320
2P	MNL	KLO		0	320
2P	MNL	KLO	*	0	320
2P	MNL	LGP		0	320
2P	MNL	MPH		0	DH3
2P	MNL	OZC		0	320
2P	MNL	PPS		0	320
2P	MNL	RXS		0	320
2P	MNL	SUG		0	DH4
2P	MNL	TUG		0	DH4
2P	MNL	ZAM		0	320
2P	MPH	MNL		0	DH3
2P	OZC	MNL		0	320
2P	PPS	MNL		0	320
2P	RXS	MNL		0	320
2P	SUG	MNL		0	DH4
2P	TUG	MNL		0	DH4
2P	ZAM	MNL		0	320
2Z	AUX	PMW		0	AT7
2Z	BRA	BSB		0	AT7
2Z	BRA	SSA		0	AT7
2Z	BSB	BRA		0	AT7
2Z	BSB	OPS		0	AT7
2Z	BSB	RAO		0	AT7
2Z	CAC	GRU		0	AT7
2Z	CGB	GYN		0	AT7
2Z	CGB	OPS		0	AT7
2Z	CGR	DOU		0	AT7
2Z	DOU	CGR		0	AT7
2Z	DOU	GRU		0	AT7
2Z	GIG	RAO		0	AT7
2Z	GRU	CAC		0	AT7
2Z	GRU	DOU		0	AT7
2Z	GRU	RAO		0	AT7
2Z	GRU	UBA		0	AT7
2Z	GRU	UDI		0	AT7
2Z	GRU	VDC		0	AT7
2Z	GYN	CGB		0	AT7
2Z	GYN	PMW		0	AT7
2Z	GYN	RAO		0	AT7
2Z	GYN	UDI		0	AT7
2Z	OPS	BSB		0	AT7
2Z	OPS	CGB		0	AT7
2Z	PLU	RAO		0	AT7
2Z	PMW	AUX		0	AT7
2Z	PMW	GYN		0	AT7
2Z	RAO	BSB		0	AT7
2Z	RAO	GIG		0	AT7
2Z	RAO	GRU		0	AT7
2Z	RAO	GYN		0	AT7
